GAME;TITLE;AUTHOR;YEAR
Meridian 59;Little Girl;Gene Rozenberg (?);1996
Meridian 59;Cave;Gene Rozenberg (?);1996
Rise of the Triad;Rise of the Triad;;1995
Lands of Lore;Draracle Caves 2;Frank Klepacki;1993
Blood;Unholy Voices;;1997
Kevin MacLeod;Oppressive Gloom;;2015
Descent II;Credits Theme;;1996
Marty Fancher;Auralite ;;1996
Phantasy Star IV;Laughter;Izuho Takeuchi & Masaki Nakagaki;1993
Stratovarius;Forever;Timo Tolkki;1996
Silver;Spirit of the Ice Caves;Dean Evans;1999
Final Fantasy V;The Decisive Battle;Nobuo Uematsu;1992
Hexen II;The Enchanted Cathedral;Kevin Schilder;1997
Simon the Sorcerer;The Giant Garden; Adam Gilmore & Mark McLeod ;1993
Robert Snow;Dark Star;;1999
Descent;Level 22 (Neptune Storage Depot);;1995
Creature Shock;Grind;Justin Scharvona & Martin Gwynn Jones;1994
Raptor: Call of The Shadows;Hangar;Matt Murphy;1994
Duke Nukem 3D;Aliens, Say Your Prayers!;Bobby Prince;1996
Daggerfall;Home Sweet Home;Eric Heberling;1996
Ultima VII Part 2: Serpent Isle;Wall of Lights;Marc Schaefgen & Nenad Vugrinec;1993
Blade Runner;End Titles;Vangelis;1982
Sonic the Hedgehog 3;Final Boss;Sega In-House composers & Michael Jackson (rumored);1994
Chrono Trigger;Sealed Door;Nobuo Uematsu;1995
Ultima VIII: Pagan;The Docks;Nenad Vugrinec;1994
Scorpions;Send me an Angel;Rudolf Schenker;1991
Ultima VIII: Pagan;City of the Dead;Nenad Vugrinec;1994
Ultima VIII: Pagan;Cemetary;Nenad Vugrinec;1994
Simon the Sorcerer;The Mine; Adam Gilmore & Mark McLeod ;1993
Ultima Underworld;Dark Abyss;David Govett & George Alistair Sanger;1992
Ultima VIII: Pagan;Fire;Nenad Vugrinec;1994
RPG Maker 95 RTP;D001.mid;Youta Kitagami;1997
Phantasy Star III;Abduction;Izuho Numata;1990
Creature Shock;Tortured Souls;Justin Scharvona & Martin Gwynn Jones;1994
Ultima Underworld;Descent;David Govett & George Alistair Sanger;1992
Ultima VIII: Pagan;Intro;Nenad Vugrinec;1994
Descent II;Briefing;;1996
John Weeks (Drazier Zwei);Breaching Heaven;;1999
Creature Shock;???;Justin Scharvona & Martin Gwynn Jones;1994
Actraiser;Birth of the People (''Seraphic Remix'');Yuzo Koshiro;1990
Blood & Magic;Realm of Tides;Rick Jackson & Ron Valdez;1996
Magic Sky (K.Hamada);Ceremony;;2000
Chrono Cross;Voyage (Home World);Yasunori Mitsuda;1999
Ultima VII: The Black Gate;Wisps;Herman Miller;1992
Silent Hill;Not Tomorrow;Akira Yamaoka;1999
Secret of Mana;Still Of The Night (Pure Land);Hiroki Kikuta;1993
Ozzy Osbourne;Mr. Crowley (Intro);Various;1980
Deep Forest;Sweet Lullaby;Eric Mouquet & Michel Sanchez;1992
Castlevania 64;Castle Center;;1999
Chrono Cross;Dream of the Shore Bordering Another World;Yasunori Mitsuda;1999
